code,filename,group,use,size,prompt,negative,notes
IMG-CAM-005,bg-campaign-city-shortages.webp,Campanha,Escassez urbana,2560x1440,"near-future coastal megacity under rationing and infrastructure stress viewed from distance, non-graphic, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-CAM-006,bg-campaign-launch-protests.webp,Campanha,Protestos,2560x1440,"road outside space center with distant crowd, barriers, emergency lights and launch pad far behind, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-CAM-007,bg-campaign-memorial-hall.webp,Campanha,Memorial,2560x1440,"solemn space memorial with wall of lights without readable names, astronaut helmet on pedestal, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-CAM-008,bg-campaign-earth-recovery.webp,Campanha,Recuperação da Terra,2560x1440,"Earth from orbit showing recovering oceans and green regions after years, hopeful sunrise, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-AGY-001,bg-agency-mission-control.webp,Agência,Controle da missão,2560x1440,"large near-future mission control, curved workstations, panoramic abstract telemetry lights, empty seats, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-AGY-002,bg-agency-director-office.webp,Agência,Escritório do diretor,2560x1440,"space agency director office, Earth model, mission photos without logos, window toward launch complex, dark right side, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-AGY-003,bg-agency-engineering-review.webp,Agência,Revisão de engenharia,2560x1440,"systems engineering review room with physical spacecraft model, blank wall panels, chairs for character overlays, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-AGY-004,bg-agency-propulsion-lab.webp,Agência,Laboratório de propulsão,2560x1440,"advanced rocket propulsion laboratory, engine section on stand, pipes and diagnostics, no flame, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-AGY-005,bg-agency-structures-lab.webp,Agência,Laboratório estrutural,2560x1440,"spacecraft structural lab, composite pressure shell, robotic inspection arms, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-AGY-006,bg-agency-life-support-lab.webp,Agência,Laboratório de suporte de vida,2560x1440,"closed-loop life support lab with water recycling prototypes, plant chambers and air processors, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-AGY-007,bg-agency-medical-center.webp,Agência,Centro médico,2560x1440,"astronaut medical and human performance center, scanner, treadmill enclosure, clinical lighting, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-AGY-008,bg-agency-training-simulator.webp,Agência,Simulador de treinamento,2560x1440,"full-motion spacecraft simulator hall, capsule mockup and observation booth, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-AGY-009,bg-agency-procurement-room.webp,Agência,Sala de contratos,2560x1440,"supplier negotiation room with component samples and sealed proposals, aerospace corporate atmosphere, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-AGY-010,bg-agency-data-center.webp,Agência,Data center,2560x1440,"secure aerospace data center with redundant servers and cooling corridors, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-AGY-011,bg-agency-hangar.webp,Agência,Hangar de montagem,2560x1440,"immense spacecraft assembly hangar, ARK-01 central spine under construction, tiny workers for scale, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-AGY-012,bg-agency-launch-complex.webp,Agência,Complexo de lançamento,2560x1440,"near-future launch complex at dawn, giant heavy launch vehicle, service towers and vapor, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-MFG-001,bg-mfg-blueprint-bay.webp,Fabricação e testes,Sala de projeto,2560x1440,"dark engineering visualization bay with physically plausible projected wireframe ark, no labels, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-MFG-002,bg-mfg-engine-test-stand.webp,Fabricação e testes,Bancada antes do teste,2560x1440,"remote rocket engine test stand at night before ignition, vapor and safety lights, foreground for controls, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-MFG-003,bg-mfg-engine-firing.webp,Fabricação e testes,Teste de motor,2560x1440,"rocket engine static fire on reinforced test stand, intense realistic plume and shock diamonds, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-MFG-004,bg-mfg-tank-assembly.webp,Fabricação e testes,Fabricação de tanques,2560x1440,"cryogenic tank production line, huge cylindrical tanks, welding rigs and platforms, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-MFG-005,bg-mfg-vibration-test.webp,Fabricação e testes,Teste de vibração,2560x1440,"spacecraft module on giant vibration table, cables and sensors without labels, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-MFG-006,bg-mfg-thermal-vacuum.webp,Fabricação e testes,Teste térmico-vácuo,2560x1440,"open thermal vacuum chamber with spacecraft module, black walls and industrial lighting, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-MFG-007,bg-mfg-pressure-test.webp,Fabricação e testes,Teste de pressão,2560x1440,"sealed habitat pressure test bay, reinforced windows, diagnostic lighting, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-MFG-008,bg-mfg-clean-room.webp,Fabricação e testes,Sala limpa,2560x1440,"spacecraft avionics clean room, distant technicians, flight computer racks, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-MFG-009,bg-mfg-final-integration.webp,Fabricação e testes,Integração final,2560x1440,"final spacecraft integration hall, modules joining along central spine, complex cranes, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-MFG-010,bg-mfg-rollout.webp,Fabricação e testes,Transporte ao lançamento,2560x1440,"massive launch vehicle rolling toward pad at sunrise, cinematic low angle, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD",
IMG-INT-001,bg-interior-flight-deck.webp,Interior ARK-01,Cabine de comando,2560x1440,"ARK-01 command flight deck, forward panoramic windows, empty instrument bezels and blank dark screen surfaces reserved for coded UI, symmetrical, no gauges, no labeled buttons, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD","Não aceitar instrumentos prontos. Medidores, botões, textos e luzes de estado serão sobrepostos por código."
IMG-INT-002,bg-interior-navigation.webp,Interior ARK-01,Navegação,2560x1440,"navigation room with central star map table switched off, blank display walls, seats and handrails, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD","Não aceitar instrumentos prontos. Medidores, botões, textos e luzes de estado serão sobrepostos por código."
IMG-INT-003,bg-interior-engineering-control.webp,Interior ARK-01,Controle de engenharia,2560x1440,"engineering control room, rows of blank dark panels and unlabeled switch housings, reactor access behind glass, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD","Não aceitar instrumentos prontos. Medidores, botões, textos e luzes de estado serão sobrepostos por código."
IMG-INT-004,bg-interior-reactor.webp,Interior ARK-01,Reator,2560x1440,"compact advanced fission or fusion reactor chamber, shielded core housing, coolant pipes, service catwalks, no fantasy energy, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD","Não aceitar instrumentos prontos. Medidores, botões, textos e luzes de estado serão sobrepostos por código."
IMG-INT-005,bg-interior-propulsion-service.webp,Interior ARK-01,Serviço de propulsão,2560x1440,"spacecraft propulsion service bay, engine feed lines, valves, access platforms and maintenance lighting, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD","Não aceitar instrumentos prontos. Medidores, botões, textos e luzes de estado serão sobrepostos por código."
IMG-INT-006,bg-interior-life-support.webp,Interior ARK-01,Suporte de vida,2560x1440,"life support room with air scrubbers, water reclamation columns, filter racks and blank panels, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD","Não aceitar instrumentos prontos. Medidores, botões, textos e luzes de estado serão sobrepostos por código."
IMG-INT-007,bg-interior-hydroponics.webp,Interior ARK-01,Hidroponia,2560x1440,"spacecraft hydroponics greenhouse, modular crops under efficient grow lights, water channels and central aisle, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD","Não aceitar instrumentos prontos. Medidores, botões, textos e luzes de estado serão sobrepostos por código."
IMG-INT-008,bg-interior-medbay.webp,Interior ARK-01,Enfermaria,2560x1440,"spacecraft medical bay with two treatment beds, diagnostic arch, medicine lockers and neutral lighting, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD","Não aceitar instrumentos prontos. Medidores, botões, textos e luzes de estado serão sobrepostos por código."
IMG-INT-009,bg-interior-crew-quarters.webp,Interior ARK-01,Alojamentos,2560x1440,"compact long-duration crew quarters, private bunks, personal storage, soft lighting, orderly lived-in feel, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD","Não aceitar instrumentos prontos. Medidores, botões, textos e luzes de estado serão sobrepostos por código."
IMG-INT-010,bg-interior-galley.webp,Interior ARK-01,Refeitório,2560x1440,"spacecraft galley and communal table, compact appliances, room for crew overlays, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD","Não aceitar instrumentos prontos. Medidores, botões, textos e luzes de estado serão sobrepostos por código."
IMG-INT-011,bg-interior-science-lab.webp,Interior ARK-01,Laboratório científico,2560x1440,"multidisciplinary spacecraft laboratory with sealed sample cabinets, analyzers and blank screens, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD","Não aceitar instrumentos prontos. Medidores, botões, textos e luzes de estado serão sobrepostos por código."
IMG-INT-012,bg-interior-observation-dome.webp,Interior ARK-01,Cúpula de observação,2560x1440,"observation dome with wide space view, minimal seating and structural ribs, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD","Não aceitar instrumentos prontos. Medidores, botões, textos e luzes de estado serão sobrepostos por código."
IMG-INT-013,bg-interior-airlock.webp,Interior ARK-01,Câmara de ar,2560x1440,"dual-door spacecraft airlock, EVA suit mounts, tool lockers, warning light housings without text, ultra-realistic cinematic near-future space engineering, premium AAA game background, physically plausible architecture and materials, dark navy and graphite palette, brushed titanium, subtle cyan and amber practical lighting, controlled contrast, volumetric atmosphere, extremely detailed, credible scale, no readable text, no logos, no watermark","cartoon, anime, fantasy magic, retro pulp, low resolution, blurry, distorted geometry, duplicated objects, readable text, brand logos, NASA insignia, watermark, UI overlay, game HUD","Não aceitar instrumentos prontos. Medidores, botões, textos e luzes de estado serão sobrepostos por código."
